id,name,district_rides,average_duration,stations_count,total_rides,local_rides_percent,name_en,name_ru
71,Ростокино,1959,42,4,3988,49,Rostokino,Ростокино
143,Якиманка,16938,47,12,40713,42,Yakimanka,Якиманка
159,Проспект Вернадского,2422,36,3,7506,32,Prospekt Vernadskogo,Проспект Вернадского
160,Обручевский,8464,28,10,17638,48,Obruchevskiy,Обручевский
83,район Чертаново Северное,3153,54,2,4644,68,Chertanovo,район Чертаново Северное
157,Тропарёво-Никулино,286,52,1,1177,24,Troparevo,Тропарёво-Никулино
24,Мещанский район,12239,24,15,30325,40,Meschanskiy,Мещанский район
158,Котловка,770,29,3,3274,24,Kotlovka,Котловка
132,Марьина Роща,3081,30,6,9194,34,Matyina Roscha,Марьина Роща
147,Пресненский,32952,29,28,62816,52,Presnenskiy,Пресненский
138,Арбат,11406,32,11,36474,31,Arbat district,Арбат
54,Отрадное,377,56,1,1374,27,Otradnoe,Отрадное
59,Дорогомилово,716,41,2,2757,26,Dorogomilovo,Дорогомилово
141,Красносельский,5199,23,12,19065,27,Krasnoselskiy,Красносельский
67,Раменки,13567,33,13,30410,45,Ramenki,Раменки
130,Останкинский район,30895,41,14,36546,85,Ostankinskiy,Останкинский район
145,Черёмушки,9182,26,10,18691,49,Cheremushki,Черёмушки
146,Таганский,4054,31,9,14415,28,Taganskiy,Таганский
155,Тверской район,29673,24,27,67893,44,Tverskoy,Тверской район
98,Коньково,8355,38,8,14166,59,Konkovo,Коньково
151,Ломоносовский,2955,30,6,8804,34,Lomonosovskiy,Ломоносовский
84,Нагорный район,1758,35,4,3554,49,Nagorniy,Нагорный район
131,Хамовники,98901,33,35,134713,73,Hamovniki,Хамовники
137,Замоскворечье,17345,23,10,34263,51,Zamoskvorechie,Замоскворечье
148,Гагаринский,14386,30,14,33030,44,Gagrinskiy,Гагаринский
266,Басманный район,22623,22,15,44817,50,Basmanniy,Басманный район
36,Тимирязевский,227,65,1,551,41,Timirazevskiy,Тимирязевский
125,Бутырский район,2361,28,4,4130,57,Butyrskiy,Бутырский район
41,Донской,5115,36,4,14402,36,Donskoy,Донской
154,Академический,12133,26,8,24325,50,Akademicheskiy,Академический
156,Зюзино,6148,30,8,10367,59,Zuzino,Зюзино
